model,precision@10,recall@10,ndcg@10,precision@5,recall@5,ndcg@5
ALS,0.008333333333333335,0.008333333333333335,0.009091849888924164,0.011111111111111113,0.005555555555555557,0.01065462131587043
avg_synopsis_emb,0.022222222222222227,0.0044444444444444444,0.023569657033623466,0.038888888888888896,0.003888888888888889,0.03318034000369062
